Term;Freq;N. Words
altavoces;17;1
Android;27;1
aplicación;26;1
Apple;43;1
Bitcoin;16;1
Blockchain;40;1
cámara;25;1
carga;17;1
CEO;15;1
cobertura;23;1
conectividad;33;1
conexión;27;1
Cyber;30;1
datos;124;1
digital;60;1
dispositivo;38;1
Friday;73;1
Galaxy;25;1
gama;31;1
Google;81;1
hardware;15;1
Huawei;70;1
inteligencia;59;1
Internet;85;1
iOS;16;1
iPhone;45;1
lanzamiento;21;1
móvil;78;1
nube;31;1
ofertas;56;1
Oppo;20;1
pantalla;37;1
plataformas;17;1
Pro;18;1
red;105;1
robots;29;1
Samsung;39;1
satélite;15;1
sistemas;37;1
smart;16;1
smartphone;27;1
software;25;1
Telecom;75;1
teléfonos;40;1
USB;18;1
videojuegos;18;1
virtual;20;1
web;24;1
wifi;17;1
Xiaomi;23;1
